t,price,p_charge_MW,p_discharge_MW,soc_MWh_start,soc_MWh_end,full_cycles,profit_EUR,soc_percent
0.0,24.79,0.0,5.0,5.0,3.6842105263157894,4.47594745498615,30.987499999999997,50.0
0.25,33.12,0.0,5.0,3.6842105263157894,2.3684210526315788,4.47594745498615,41.4,36.84210526315789
0.5,14.96,0.0,0.0,2.3684210526315788,2.3684210526315788,4.47594745498615,0.0,23.684210526315788
0.75,5.75,5.0,0.0,2.3684210526315788,3.5559210526315788,4.47594745498615,-7.1875,23.684210526315788
1.0,20.62,0.0,5.0,3.5559210526315788,2.240131578947368,4.47594745498615,25.775000000000002,35.55921052631579
1.25,15.58,0.0,3.025,2.240131578947368,1.4440789473684208,4.47594745498615,11.782375,22.40131578947368
1.5,16.47,0.0,5.0,1.4440789473684208,0.1282894736842104,4.47594745498615,20.5875,14.440789473684207
1.75,9.09,5.0,0.0,0.1282894736842104,1.3157894736842104,4.47594745498615,-11.3625,1.282894736842104
2.0,18.45,0.0,5.0,1.3157894736842104,-0.0,4.47594745498615,23.0625,13.157894736842104
2.25,11.75,-0.0,0.0,-0.0,-0.0,4.47594745498615,0.0,-0.0
2.5,10.42,5.0,0.0,-0.0,1.1875,4.47594745498615,-13.025,-0.0
2.75,10.77,5.0,0.0,1.1875,2.375,4.47594745498615,-13.462499999999999,11.875
3.0,14.47,0.0,5.0,2.375,1.0592105263157896,4.47594745498615,18.087500000000002,23.75
3.25,12.07,0.0,0.0,1.0592105263157896,1.0592105263157896,4.47594745498615,0.0,10.592105263157896
3.5,10.58,5.0,0.0,1.0592105263157896,2.2467105263157894,4.47594745498615,-13.225,10.592105263157896
3.75,7.68,5.0,0.0,2.2467105263157894,3.4342105263157894,4.47594745498615,-9.6,22.467105263157894
4.0,12.68,0.0,2.1249999999999996,3.4342105263157894,2.875,4.47594745498615,6.736249999999998,34.3421052631579
4.25,6.65,5.0,0.0,2.875,4.0625,4.47594745498615,-8.3125,28.749999999999996
4.5,6.21,5.0,0.0,4.0625,5.25,4.47594745498615,-7.7625,40.625
4.75,10.25,5.0,0.0,5.25,6.4375,4.47594745498615,-12.8125,52.5
5.0,11.83,0.0,0.0,6.4375,6.4375,4.47594745498615,0.0,64.375
5.25,9.91,5.0,0.0,6.4375,7.625,4.47594745498615,-12.3875,64.375
5.5,10.43,5.0,0.0,7.625,8.8125,4.47594745498615,-13.0375,76.25
5.75,11.3,5.0,0.0,8.8125,10.0,4.47594745498615,-14.125,88.125
6.0,14.01,0.0,4.5125,10.0,8.8125,4.47594745498615,15.80503125,100.0
6.25,12.77,0.0,0.0,8.8125,8.8125,4.47594745498615,0.0,88.125
6.5,13.01,0.0,0.0,8.8125,8.8125,4.47594745498615,0.0,88.125
6.75,12.51,5.0,0.0,8.8125,10.0,4.47594745498615,-15.6375,88.125
7.0,14.92,0.0,4.5125,10.0,8.8125,4.47594745498615,16.831625,100.0
7.25,14.63,0.0,0.0,8.8125,8.8125,4.47594745498615,0.0,88.125
7.5,14.77,0.0,0.0,8.8125,8.8125,4.47594745498615,0.0,88.125
7.75,10.67,5.0,0.0,8.8125,10.0,4.47594745498615,-13.3375,88.125
8.0,16.22,0.0,0.0,10.0,10.0,4.47594745498615,0.0,100.0
8.25,16.67,0.0,4.5125,10.0,8.8125,4.47594745498615,18.80584375,100.0
8.5,16.32,0.0,0.0,8.8125,8.8125,4.47594745498615,0.0,88.125
8.75,14.4,5.0,0.0,8.8125,10.0,4.47594745498615,-18.0,88.125
9.0,36.11,0.0,5.0,10.0,8.68421052631579,4.47594745498615,45.1375,100.0
9.25,25.29,0.0,5.0,8.68421052631579,7.368421052631579,4.47594745498615,31.612499999999997,86.8421052631579
9.5,20.1,0.0,5.0,7.368421052631579,6.052631578947368,4.47594745498615,25.125,73.68421052631578
9.75,13.48,5.0,0.0,6.052631578947368,7.240131578947368,4.47594745498615,-16.85,60.526315789473685
10.0,23.72,0.0,5.0,7.240131578947368,5.9243421052631575,4.47594745498615,29.65,72.40131578947368
10.25,18.08,0.0,5.0,5.9243421052631575,4.608552631578947,4.47594745498615,22.599999999999998,59.243421052631575
10.5,16.4,0.0,0.0,4.608552631578947,4.608552631578947,4.47594745498615,0.0,46.08552631578947
10.75,15.0,5.0,0.0,4.608552631578947,5.796052631578947,4.47594745498615,-18.75,46.08552631578947
11.0,15.0,5.0,0.0,5.796052631578947,6.983552631578947,4.47594745498615,-18.75,57.96052631578947
11.25,15.06,5.0,0.0,6.983552631578947,8.171052631578947,4.47594745498615,-18.825,69.83552631578947
11.5,15.0,5.0,0.0,8.171052631578947,9.358552631578947,4.47594745498615,-18.75,81.71052631578947
11.75,17.97,0.0,4.149999999999997,9.358552631578947,8.266447368421053,4.47594745498615,18.643874999999984,93.58552631578947
12.0,14.85,5.0,0.0,8.266447368421053,9.453947368421053,4.47594745498615,-18.5625,82.66447368421052
12.25,18.0,0.0,5.0,9.453947368421053,8.138157894736842,4.47594745498615,22.5,94.53947368421053
12.5,24.78,0.0,5.0,8.138157894736842,6.822368421052632,4.47594745498615,30.975,81.38157894736842
12.75,26.43,0.0,5.0,6.822368421052632,5.506578947368421,4.47594745498615,33.0375,68.22368421052632
13.0,20.25,0.0,5.0,5.506578947368421,4.190789473684211,4.47594745498615,25.3125,55.06578947368421
13.25,18.22,0.0,5.0,4.190789473684211,2.875,4.47594745498615,22.775,41.9078947368421
13.5,15.75,5.0,0.0,2.875,4.0625,4.47594745498615,-19.6875,28.749999999999996
13.75,16.09,5.0,0.0,4.0625,5.25,4.47594745498615,-20.1125,40.625
14.0,15.0,5.0,0.0,5.25,6.4375,4.47594745498615,-18.75,52.5
14.25,14.74,5.0,0.0,6.4375,7.625,4.47594745498615,-18.425,64.375
14.5,15.36,5.0,0.0,7.625,8.8125,4.47594745498615,-19.2,76.25
14.75,15.75,5.0,0.0,8.8125,10.0,4.47594745498615,-19.6875,88.125
15.0,16.39,0.0,0.0,10.0,10.0,4.47594745498615,0.0,100.0
15.25,17.62,0.0,0.0,10.0,10.0,4.47594745498615,0.0,100.0
15.5,20.1,0.0,-0.0,10.0,10.0,4.47594745498615,-0.0,100.0
15.75,29.92,0.0,4.5125,10.0,8.8125,4.47594745498615,33.7535,100.0
16.0,16.9,5.0,0.0,8.8125,10.0,4.47594745498615,-21.125,88.125
16.25,36.0,0.0,-0.0,10.0,10.0,4.47594745498615,-0.0,100.0
16.5,41.3,0.0,-0.0,10.0,10.0,4.47594745498615,-0.0,100.0
16.75,50.68,0.0,4.5125,10.0,8.8125,4.47594745498615,57.173375,100.0
17.0,25.29,5.0,0.0,8.8125,10.0,4.47594745498615,-31.612499999999997,88.125
17.25,46.64,0.0,0.0,10.0,10.0,4.47594745498615,0.0,100.0
17.5,71.92,0.0,0.0,10.0,10.0,4.47594745498615,0.0,100.0
17.75,76.56,0.0,5.0,10.0,8.68421052631579,4.47594745498615,95.7,100.0
18.0,78.75,0.0,5.0,8.68421052631579,7.368421052631579,4.47594745498615,98.4375,86.8421052631579
18.25,79.96,0.0,5.0,7.368421052631579,6.052631578947368,4.47594745498615,99.94999999999999,73.68421052631578
18.5,85.0,0.0,5.0,6.052631578947368,4.7368421052631575,4.47594745498615,106.25,60.526315789473685
18.75,85.88,0.0,5.0,4.7368421052631575,3.421052631578947,4.47594745498615,107.35,47.368421052631575
19.0,85.71,0.0,5.0,3.421052631578947,2.1052631578947363,4.47594745498615,107.13749999999999,34.210526315789465
19.25,87.59,0.0,5.0,2.1052631578947363,0.7894736842105259,4.47594745498615,109.48750000000001,21.052631578947363
19.5,74.48,0.0,2.9999999999999987,0.7894736842105259,-0.0,4.47594745498615,55.85999999999998,7.894736842105258
19.75,49.1,-0.0,0.0,-0.0,-0.0,4.47594745498615,0.0,-0.0
20.0,45.5,-0.0,0.0,-0.0,-0.0,4.47594745498615,0.0,-0.0
20.25,50.0,0.0,0.0,-0.0,-0.0,4.47594745498615,0.0,-0.0
20.5,26.7,5.0,0.0,-0.0,1.1875,4.47594745498615,-33.375,-0.0
20.75,21.17,5.0,0.0,1.1875,2.375,4.47594745498615,-26.462500000000002,11.875
21.0,29.27,5.0,0.0,2.375,3.5625,4.47594745498615,-36.5875,23.75
21.25,28.41,5.0,0.0,3.5625,4.75,4.47594745498615,-35.5125,35.625
21.5,22.25,5.0,0.0,4.75,5.9375,4.47594745498615,-27.8125,47.5
21.75,15.22,5.0,0.0,5.9375,7.125,4.47594745498615,-19.025000000000002,59.375
22.0,19.48,5.0,0.0,7.125,8.3125,4.47594745498615,-24.35,71.25
22.25,23.77,5.0,0.0,8.3125,9.5,4.47594745498615,-29.7125,83.125
22.5,68.56,0.0,5.0,9.5,8.18421052631579,4.47594745498615,85.7,95.0
22.75,62.23,0.0,5.0,8.18421052631579,6.868421052631579,4.47594745498615,77.7875,81.84210526315789
23.0,52.73,0.0,5.0,6.868421052631579,5.552631578947368,4.47594745498615,65.9125,68.6842105263158
23.25,35.28,3.2132963988919685,0.0,5.552631578947368,6.315789473684211,4.47594745498615,-28.341274238227165,55.52631578947368
23.5,57.02,0.0,5.0,6.315789473684211,5.0,4.47594745498615,71.275,63.1578947368421
23.75,36.94,0.0,0.0,5.0,5.0,4.47594745498615,0.0,50.0
