time,date,step,t_hours,price,p_charge_MW,p_discharge_MW,soc_MWh_start,soc_MWh_end,profit_EUR,soc_percent_start
2025-12-12 00:00:00,2025-12-12,0,0.0,88.52,0.0,4.75,5.0,-0.0,420.46999999999997,50.0
2025-12-12 01:00:00,2025-12-12,1,1.0,84.21,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2025-12-12 02:00:00,2025-12-12,2,2.0,79.14,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2025-12-12 03:00:00,2025-12-12,3,3.0,65.67,0.5263157894736842,0.0,-0.0,0.5,-34.56315789473684,-0.0
2025-12-12 04:00:00,2025-12-12,4,4.0,51.67,5.0,0.0,0.5,5.25,-258.35,5.0
2025-12-12 05:00:00,2025-12-12,5,5.0,60.59,5.0,0.0,5.25,10.0,-302.95000000000005,52.5
2025-12-12 06:00:00,2025-12-12,6,6.0,81.81,0.0,0.0,10.0,10.0,0.0,100.0
2025-12-12 07:00:00,2025-12-12,7,7.0,76.32,-0.0,0.0,10.0,10.0,0.0,100.0
2025-12-12 08:00:00,2025-12-12,8,8.0,114.13,0.0,4.500000000000001,10.0,5.263157894736842,513.585,100.0
2025-12-12 09:00:00,2025-12-12,9,9.0,121.28,0.0,5.0,5.263157894736842,-0.0,606.4,52.63157894736842
2025-12-12 10:00:00,2025-12-12,10,10.0,108.5,0.0,0.0,-0.0,-0.0,0.0,-0.0
2025-12-12 11:00:00,2025-12-12,11,11.0,86.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
2025-12-12 12:00:00,2025-12-12,12,12.0,86.95,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2025-12-12 13:00:00,2025-12-12,13,13.0,85.24,0.0,0.0,-0.0,-0.0,0.0,-0.0
2025-12-12 14:00:00,2025-12-12,14,14.0,61.33,5.0,0.0,-0.0,4.75,-306.65,-0.0
2025-12-12 15:00:00,2025-12-12,15,15.0,69.4,5.0,0.0,4.75,9.5,-347.0,47.5
2025-12-12 16:00:00,2025-12-12,16,16.0,73.4,0.5263157894736842,0.0,9.5,10.0,-38.631578947368425,95.0
2025-12-12 17:00:00,2025-12-12,17,17.0,86.02,0.0,-0.0,10.0,10.0,-0.0,100.0
2025-12-12 18:00:00,2025-12-12,18,18.0,109.7,0.0,4.500000000000001,10.0,5.263157894736842,493.6500000000001,100.0
2025-12-12 19:00:00,2025-12-12,19,19.0,110.27,0.0,5.0,5.263157894736842,-0.0,551.35,52.63157894736842
2025-12-12 20:00:00,2025-12-12,20,20.0,102.95,0.0,0.0,-0.0,-0.0,0.0,-0.0
2025-12-12 21:00:00,2025-12-12,21,21.0,84.24,-0.0,0.0,-0.0,-0.0,0.0,-0.0
2025-12-12 22:00:00,2025-12-12,22,22.0,64.95,5.0,0.0,-0.0,4.75,-324.75,-0.0
2025-12-12 23:00:00,2025-12-12,23,23.0,82.15,0.2631578947368421,0.0,4.75,5.0,-21.61842105263158,47.5
2025-12-13 00:00:00,2025-12-13,0,0.0,96.04,0.0,4.75,5.0,-0.0,456.19000000000005,50.0
2025-12-13 01:00:00,2025-12-13,1,1.0,87.5,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2025-12-13 02:00:00,2025-12-13,2,2.0,75.2,0.0,0.0,-0.0,-0.0,0.0,-0.0
