time,date,step,t_hours,price,p_charge_MW,p_discharge_MW,soc_MWh_start,soc_MWh_end,profit_EUR,soc_percent_start
2025-11-01 00:00:00,2025-11-01,0,0.0,24.79,0.0,5.0,5.0,3.6842105263157894,30.987499999999997,50.0
2025-11-01 00:15:00,2025-11-01,1,0.25,33.12,0.0,5.0,3.6842105263157894,2.3684210526315788,41.4,36.84210526315789
2025-11-01 00:30:00,2025-11-01,2,0.5,14.96,0.0,0.0,2.3684210526315788,2.3684210526315788,0.0,23.684210526315788
2025-11-01 00:45:00,2025-11-01,3,0.75,5.75,5.0,0.0,2.3684210526315788,3.5559210526315788,-7.1875,23.684210526315788
2025-11-01 01:00:00,2025-11-01,4,1.0,20.62,0.0,5.0,3.5559210526315788,2.240131578947368,25.775000000000002,35.55921052631579
2025-11-01 01:15:00,2025-11-01,5,1.25,15.58,0.0,3.025,2.240131578947368,1.4440789473684208,11.782375,22.40131578947368
2025-11-01 01:30:00,2025-11-01,6,1.5,16.47,0.0,5.0,1.4440789473684208,0.1282894736842104,20.5875,14.440789473684207
2025-11-01 01:45:00,2025-11-01,7,1.75,9.09,5.0,0.0,0.1282894736842104,1.3157894736842104,-11.3625,1.282894736842104
2025-11-01 02:00:00,2025-11-01,8,2.0,18.45,0.0,5.0,1.3157894736842104,-0.0,23.0625,13.157894736842104
2025-11-01 02:15:00,2025-11-01,9,2.25,11.75,-0.0,0.0,-0.0,-0.0,0.0,-0.0
2025-11-01 02:30:00,2025-11-01,10,2.5,10.42,5.0,0.0,-0.0,1.1875,-13.025,-0.0
2025-11-01 02:45:00,2025-11-01,11,2.75,10.77,5.0,0.0,1.1875,2.375,-13.462499999999999,11.875
2025-11-01 03:00:00,2025-11-01,12,3.0,14.47,0.0,5.0,2.375,1.0592105263157896,18.087500000000002,23.75
2025-11-01 03:15:00,2025-11-01,13,3.25,12.07,0.0,0.0,1.0592105263157896,1.0592105263157896,0.0,10.592105263157896
