"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/11/2025 00:00:00 - 01/11/2025 00:15:00","BZN|FR","Sequence Sequence 2","24.79","",""
"01/11/2025 00:00:00 - 01/11/2025 00:15:00","BZN|FR","Without Sequence","24.79","",""
"01/11/2025 00:15:00 - 01/11/2025 00:30:00","BZN|FR","Sequence Sequence 2","33.12","",""
"01/11/2025 00:15:00 - 01/11/2025 00:30:00","BZN|FR","Without Sequence","33.12","",""
"01/11/2025 00:30:00 - 01/11/2025 00:45:00","BZN|FR","Sequence Sequence 2","14.96","",""
"01/11/2025 00:30:00 - 01/11/2025 00:45:00","BZN|FR","Without Sequence","14.96","",""
"01/11/2025 00:45:00 - 01/11/2025 01:00:00","BZN|FR","Sequence Sequence 2","5.75","",""
"01/11/2025 00:45:00 - 01/11/2025 01:00:00","BZN|FR","Without Sequence","5.75","",""
"01/11/2025 01:00:00 - 01/11/2025 01:15:00","BZN|FR","Sequence Sequence 2","20.62","",""
"01/11/2025 01:00:00 - 01/11/2025 01:15:00","BZN|FR","Without Sequence","20.62","",""
"01/11/2025 01:15:00 - 01/11/2025 01:30:00","BZN|FR","Sequence Sequence 2","15.58","",""
"01/11/2025 01:15:00 - 01/11/2025 01:30:00","BZN|FR","Without Sequence","15.58","",""
"01/11/2025 01:30:00 - 01/11/2025 01:45:00","BZN|FR","Sequence Sequence 2","16.47","",""
"01/11/2025 01:30:00 - 01/11/2025 01:45:00","BZN|FR","Without Sequence","16.47","",""
"01/11/2025 01:45:00 - 01/11/2025 02:00:00","BZN|FR","Sequence Sequence 2","9.09","",""
"01/11/2025 01:45:00 - 01/11/2025 02:00:00","BZN|FR","Without Sequence","9.09","",""
"01/11/2025 02:00:00 - 01/11/2025 02:15:00","BZN|FR","Sequence Sequence 2","18.45","",""
"01/11/2025 02:00:00 - 01/11/2025 02:15:00","BZN|FR","Without Sequence","18.45","",""
"01/11/2025 02:15:00 - 01/11/2025 02:30:00","BZN|FR","Sequence Sequence 2","11.75","",""
"01/11/2025 02:15:00 - 01/11/2025 02:30:00","BZN|FR","Without Sequence","11.75","",""
"01/11/2025 02:30:00 - 01/11/2025 02:45:00","BZN|FR","Sequence Sequence 2","10.42","",""
"01/11/2025 02:30:00 - 01/11/2025 02:45:00","BZN|FR","Without Sequence","10.42","",""
"01/11/2025 02:45:00 - 01/11/2025 03:00:00","BZN|FR","Sequence Sequence 2","10.77","",""
"01/11/2025 02:45:00 - 01/11/2025 03:00:00","BZN|FR","Without Sequence","10.77","",""
"01/11/2025 03:00:00 - 01/11/2025 03:15:00","BZN|FR","Sequence Sequence 2","14.47","",""
"01/11/2025 03:00:00 - 01/11/2025 03:15:00","BZN|FR","Without Sequence","14.47","",""
"01/11/2025 03:15:00 - 01/11/2025 03:30:00","BZN|FR","Sequence Sequence 2","12.07","",""
"01/11/2025 03:15:00 - 01/11/2025 03:30:00","BZN|FR","Without Sequence","12.07","",""
"01/11/2025 03:30:00 - 01/11/2025 03:45:00","BZN|FR","Sequence Sequence 2","10.58","",""
"01/11/2025 03:30:00 - 01/11/2025 03:45:00","BZN|FR","Without Sequence","10.58","",""
"01/11/2025 03:45:00 - 01/11/2025 04:00:00","BZN|FR","Sequence Sequence 2","7.68","",""
"01/11/2025 03:45:00 - 01/11/2025 04:00:00","BZN|FR","Without Sequence","7.68","",""
"01/11/2025 04:00:00 - 01/11/2025 04:15:00","BZN|FR","Sequence Sequence 2","12.68","",""
"01/11/2025 04:00:00 - 01/11/2025 04:15:00","BZN|FR","Without Sequence","12.68","",""
"01/11/2025 04:15:00 - 01/11/2025 04:30:00","BZN|FR","Sequence Sequence 2","6.65","",""
"01/11/2025 04:15:00 - 01/11/2025 04:30:00","BZN|FR","Without Sequence","6.65","",""
"01/11/2025 04:30:00 - 01/11/2025 04:45:00","BZN|FR","Sequence Sequence 2","6.21","",""
"01/11/2025 04:30:00 - 01/11/2025 04:45:00","BZN|FR","Without Sequence","6.21","",""
"01/11/2025 04:45:00 - 01/11/2025 05:00:00","BZN|FR","Sequence Sequence 2","10.25","",""
"01/11/2025 04:45:00 - 01/11/2025 05:00:00","BZN|FR","Without Sequence","10.25","",""
"01/11/2025 05:00:00 - 01/11/2025 05:15:00","BZN|FR","Sequence Sequence 2","11.83","",""
"01/11/2025 05:00:00 - 01/11/2025 05:15:00","BZN|FR","Without Sequence","11.83","",""
"01/11/2025 05:15:00 - 01/11/2025 05:30:00","BZN|FR","Sequence Sequence 2","9.91","",""
"01/11/2025 05:15:00 - 01/11/2025 05:30:00","BZN|FR","Without Sequence","9.91","",""
"01/11/2025 05:30:00 - 01/11/2025 05:45:00","BZN|FR","Sequence Sequence 2","10.43","",""
"01/11/2025 05:30:00 - 01/11/2025 05:45:00","BZN|FR","Without Sequence","10.43","",""
"01/11/2025 05:45:00 - 01/11/2025 06:00:00","BZN|FR","Sequence Sequence 2","11.30","",""
"01/11/2025 05:45:00 - 01/11/2025 06:00:00","BZN|FR","Without Sequence","11.30","",""
"01/11/2025 06:00:00 - 01/11/2025 06:15:00","BZN|FR","Sequence Sequence 2","14.01","",""
"01/11/2025 06:00:00 - 01/11/2025 06:15:00","BZN|FR","Without Sequence","14.01","",""
"01/11/2025 06:15:00 - 01/11/2025 06:30:00","BZN|FR","Sequence Sequence 2","12.77","",""
"01/11/2025 06:15:00 - 01/11/2025 06:30:00","BZN|FR","Without Sequence","12.77","",""
"01/11/2025 06:30:00 - 01/11/2025 06:45:00","BZN|FR","Sequence Sequence 2","13.01","",""
"01/11/2025 06:30:00 - 01/11/2025 06:45:00","BZN|FR","Without Sequence","13.01","",""
"01/11/2025 06:45:00 - 01/11/2025 07:00:00","BZN|FR","Sequence Sequence 2","12.51","",""
"01/11/2025 06:45:00 - 01/11/2025 07:00:00","BZN|FR","Without Sequence","12.51","",""
"01/11/2025 07:00:00 - 01/11/2025 07:15:00","BZN|FR","Sequence Sequence 2","14.92","",""
"01/11/2025 07:00:00 - 01/11/2025 07:15:00","BZN|FR","Without Sequence","14.92","",""
"01/11/2025 07:15:00 - 01/11/2025 07:30:00","BZN|FR","Sequence Sequence 2","14.63","",""
"01/11/2025 07:15:00 - 01/11/2025 07:30:00","BZN|FR","Without Sequence","14.63","",""
"01/11/2025 07:30:00 - 01/11/2025 07:45:00","BZN|FR","Sequence Sequence 2","14.77","",""
"01/11/2025 07:30:00 - 01/11/2025 07:45:00","BZN|FR","Without Sequence","14.77","",""
"01/11/2025 07:45:00 - 01/11/2025 08:00:00","BZN|FR","Sequence Sequence 2","10.67","",""
"01/11/2025 07:45:00 - 01/11/2025 08:00:00","BZN|FR","Without Sequence","10.67","",""
"01/11/2025 08:00:00 - 01/11/2025 08:15:00","BZN|FR","Sequence Sequence 2","16.22","",""
"01/11/2025 08:00:00 - 01/11/2025 08:15:00","BZN|FR","Without Sequence","16.22","",""
"01/11/2025 08:15:00 - 01/11/2025 08:30:00","BZN|FR","Sequence Sequence 2","16.67","",""
"01/11/2025 08:15:00 - 01/11/2025 08:30:00","BZN|FR","Without Sequence","16.67","",""
"01/11/2025 08:30:00 - 01/11/2025 08:45:00","BZN|FR","Sequence Sequence 2","16.32","",""
"01/11/2025 08:30:00 - 01/11/2025 08:45:00","BZN|FR","Without Sequence","16.32","",""
"01/11/2025 08:45:00 - 01/11/2025 09:00:00","BZN|FR","Sequence Sequence 2","14.40","",""
"01/11/2025 08:45:00 - 01/11/2025 09:00:00","BZN|FR","Without Sequence","14.40","",""
"01/11/2025 09:00:00 - 01/11/2025 09:15:00","BZN|FR","Sequence Sequence 2","36.11","",""
"01/11/2025 09:00:00 - 01/11/2025 09:15:00","BZN|FR","Without Sequence","36.11","",""
"01/11/2025 09:15:00 - 01/11/2025 09:30:00","BZN|FR","Sequence Sequence 2","25.29","",""
"01/11/2025 09:15:00 - 01/11/2025 09:30:00","BZN|FR","Without Sequence","25.29","",""
"01/11/2025 09:30:00 - 01/11/2025 09:45:00","BZN|FR","Sequence Sequence 2","20.10","",""
"01/11/2025 09:30:00 - 01/11/2025 09:45:00","BZN|FR","Without Sequence","20.10","",""
"01/11/2025 09:45:00 - 01/11/2025 10:00:00","BZN|FR","Sequence Sequence 2","13.48","",""
"01/11/2025 09:45:00 - 01/11/2025 10:00:00","BZN|FR","Without Sequence","13.48","",""
"01/11/2025 10:00:00 - 01/11/2025 10:15:00","BZN|FR","Sequence Sequence 2","23.72","",""
"01/11/2025 10:00:00 - 01/11/2025 10:15:00","BZN|FR","Without Sequence","23.72","",""
"01/11/2025 10:15:00 - 01/11/2025 10:30:00","BZN|FR","Sequence Sequence 2","18.08","",""
"01/11/2025 10:15:00 - 01/11/2025 10:30:00","BZN|FR","Without Sequence","18.08","",""
"01/11/2025 10:30:00 - 01/11/2025 10:45:00","BZN|FR","Sequence Sequence 2","16.40","",""
"01/11/2025 10:30:00 - 01/11/2025 10:45:00","BZN|FR","Without Sequence","16.40","",""
"01/11/2025 10:45:00 - 01/11/2025 11:00:00","BZN|FR","Sequence Sequence 2","15.00","",""
"01/11/2025 10:45:00 - 01/11/2025 11:00:00","BZN|FR","Without Sequence","15.00","",""
"01/11/2025 11:00:00 - 01/11/2025 11:15:00","BZN|FR","Sequence Sequence 2","15.00","",""
"01/11/2025 11:00:00 - 01/11/2025 11:15:00","BZN|FR","Without Sequence","15.00","",""
"01/11/2025 11:15:00 - 01/11/2025 11:30:00","BZN|FR","Sequence Sequence 2","15.06","",""
"01/11/2025 11:15:00 - 01/11/2025 11:30:00","BZN|FR","Without Sequence","15.06","",""
"01/11/2025 11:30:00 - 01/11/2025 11:45:00","BZN|FR","Sequence Sequence 2","15.00","",""
"01/11/2025 11:30:00 - 01/11/2025 11:45:00","BZN|FR","Without Sequence","15.00","",""
"01/11/2025 11:45:00 - 01/11/2025 12:00:00","BZN|FR","Sequence Sequence 2","17.97","",""
